,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
1408,2023-02-23 16:37:12,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,51,Penetrates
1409,2023-02-23 16:37:12,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,43,Penetrates
1410,2023-02-23 16:37:12,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,57,Smashes
1411,2023-02-23 16:37:12,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,41,Hits
1412,2023-02-23 16:37:12,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,45,Penetrates
1415,2023-02-23 16:37:16,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Hits
1416,2023-02-23 16:37:16,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Hits
1417,2023-02-23 16:37:16,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,43,Smashes
1418,2023-02-23 16:37:16,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,33,Penetrates
1419,2023-02-23 16:37:16,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,33,Penetrates
1423,2023-02-23 16:37:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,22,Glances Off
1424,2023-02-23 16:37:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,44,Smashes
1425,2023-02-23 16:37:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,32,Penetrates
1426,2023-02-23 16:37:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,44,Smashes
1427,2023-02-23 16:37:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,35,Smashes
1428,2023-02-23 16:37:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,22,Hits
1429,2023-02-23 16:37:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,13,Grazes
1430,2023-02-23 16:37:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,13,Grazes
1431,2023-02-23 16:37:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,23,Hits
1434,2023-02-23 16:37:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,15,Grazes
1435,2023-02-23 16:37:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,19,Hits
1436,2023-02-23 16:37:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,21,Hits
1437,2023-02-23 16:37:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,37,Smashes
1438,2023-02-23 16:37:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,36,Smashes
1441,2023-02-23 16:37:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1442,2023-02-23 16:37:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Penetrates
1443,2023-02-23 16:37:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,36,Smashes
1444,2023-02-23 16:37:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1445,2023-02-23 16:37:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,37,Smashes
1446,2023-02-23 16:37:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,22,Hits
1447,2023-02-23 16:37:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,21,Hits
1448,2023-02-23 16:37:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,15,Grazes
1449,2023-02-23 16:37:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,18,Glances Off
